Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
Privi Speciality Chemicals Limited,Chemicals - Speciality Chemicals,39,61,66,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Procter & Gamble Health Limited,Pharmaceuticals,27,47,66,48,Adequate,Jun-22,Environment/Social,Unknown,,0.0,35.0
Procter and Gamble Hygiene and Health Care Limited,FMCG,45,56,69,57,Adequate,Jun-23,Environment,Unknown,,0.0,42.5
PSP Projects Limited,Construction EPC,43,60,65,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
PTC India Financial Services Limited,NBFC,55,50,43,49,Below Average,Mar-23,Governance,Unknown,,0.0,37.0
PTC India Limited,Power Trading,37,43,40,40,Weak,Mar-23,Environment/Social/Governance,Unknown,,0.0,30.0
Punjab and Sind Bank,Banks,53,58,61,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.0
Punjab Chemicals and Crop Protection Limited,Chemicals - Speciality Chemicals,25,56,68,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Punjab National Bank,Banks,49,64,62,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.75
Puravankara Limited,Real Estate,30,41,60,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.75
PVR INOX Limited,Media,47,47,61,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.75
Quess Corp Limited,Staffing,44,51,69,56,Adequate,Mar-22,Environment,Unknown,,0.0,41.0
R Systems International Limited,IT,43,41,72,54,Adequate,Dec-22,Environment/Social,Unknown,,0.0,39.0
Radiant Cash Management Services Private Limited,Logistics,23,33,58,40,Below Average,Mar-22,Environment/Social,Unknown,,0.0,28.5
Radico Khaitan Limited,FMCG,42,46,64,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.0
Rail Vikas Nigam Limited,Construction EPC,32,58,58,49,Below Average,Mar-23,Environment,Unknown,,0.0,37.0
Railtel Corporation of India Limited,Telecom,30,53,57,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.0
Rain Industries Limited,Chemicals - Bulk & Polymers,26,56,72,52,Adequate,Dec-22,Environment,Unknown,,0.0,38.5
Rainbow Childrens Medicare Limited,Healthcare,46,61,71,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.5
Rajesh Exports Limited,Consumer Retail,28,39,65,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
Rajratan Global Wire Limited,Metals - Linked Products,26,37,68,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.75
Rallis India Limited,Chemicals - Speciality Chemicals,42,60,73,59,Adequate,Mar-23,Environment,Unknown,,0.0,43.75
Ramco Industries Limited,Other Construction Material,33,55,65,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
Ramco Systems Limited,IT,43,46,65,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.5
Ramkrishna Forgings Limited,Auto Ancillary,25,39,70,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.5
Ramky Infrastructure Limited,Construction EPC,25,57,65,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Rane Holdings Limited,Auto Ancillary,25,34,68,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Rashtriya Chemicals and Fertilizers Limited,Chemicals - Fertilizers,34,48,62,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
Rategain Travel Technologies Limited,IT,38,42,61,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Ratnamani Metals and Tubes Limited,Metals - Linked Products,37,53,66,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
RattanIndia Enterprises Limited,Internet,34,38,66,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Rattanindia Power Limited,Power Thermal,26,50,65,48,Below Average,Mar-23,Environment,Unknown,,0.0,35.25
Raymond Limited,Textiles,34,51,65,CRISIL ESG 51,Adequate,Mar-23,Environment,Unknown,,0.0,37.5
RBL Bank Limited,Banks,60,53,69,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.5
REC Limited,Financial Institution ,55,60,69,62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.0
Redington Limited,Trading,34,64,73,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
Relaxo Footwears Limited,Consumer Retail,30,43,71,50,Adequate,Mar-23,Environment/Social,Unknown,,0.0,36.0
Reliance Industrial Infrastructure Limited,Logistics,27,50,64,48,Below Average,Mar-23,Environment,Unknown,,0.0,35.25
Reliance Industries Limited,Refineries and Marketing,37,45,69,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.75
Reliance Infrastructure Limited,Power T&D,43,42,68,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.25
Reliance Jio Infocomm Limited,Telecom,38,40,63,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.25
Reliance Power Limited,Power Thermal,30,36,55,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.25
Reliance Retail Ventures Limited,Retailing (Diversified Retail),32,36,52,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.0
Religare Enterprises Limited,Holding company,40,38,55,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,33.25
Renaissance Global Limited,Consumer Retail,31,44,66,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Repco Home Finance Limited,NBFC,46,60,69,59,Adequate,Mar-23,Environment,Unknown,,0.0,43.75
Responsive Industries Limited,Plywood Board,24,55,60,46,Below Average,Mar-23,Environment,Unknown,,0.0,34.75
Restaurant Brands Asia Limited,Restaurants,28,48,63,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.75
RHI Magnesita India Limited,Industrials,30,36,74,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Rites Limited,Construction EPC,36,63,61,53,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Rolex Rings Limited,Auto Ancillary,26,34,67,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Rossari Biotech Limited,Chemicals - Speciality Chemicals,33,33,71,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.25
Route Mobile Limited,IT,45,66,72,61,Strong,Mar-22,Environment,Unknown,,0.0,45.75
RPSG Ventures Limited,IT,36,52,69,53,Adequate,Mar-22,Environment,Unknown,,0.0,39.25
Rupa & Company Limited,Textiles,33,58,57,CRISIL ESG 49,Below Average,Mar-23,Environment,Unknown,,0.0,37.0
S Chand and Company Limited,Publishing,25,41,71,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.25
S H Kelkar And Company Limited,FMCG,41,42,71,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.5
S. P. Apparels Limited,Textiles,34,45,65,CRISIL ESG 49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
S.J.S. Enterprises Limited,Auto Ancillary,25,31,71,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Sadbhav Engineering Limited,Transport Infra - Roads,26,33,48,37,Below Average,Mar-22,Environment/Social/Governance,Unknown,,0.0,26.75
Sadbhav Engineering Limited,Construction EPC,20,25,41,30,Weak,Mar-23,Environment/Social/Governance,Unknown,,0.0,21.5
Sadbhav Infrastructure Project Limited,Construction EPC,20,29,53,35,Weak,Mar-23,Environment/Social,Unknown,,0.0,25.5
Sagar Cements Limited,Cement,39,51,65,53,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
Samvardhana Motherson International Limited,Auto Ancillary,41,49,67,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.25
Sandhar Technologies Limited,Auto Ancillary,26,30,65,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Sangam (India) Limited,Textiles,30,58,64,CRISIL ESG 50,Below Average,Mar-23,Environment,Unknown,,0.0,38.0
Sanofi India Limited,Pharmaceuticals,63,58,69,64,Strong,Dec-21,All sectors adequate,Unknown,,0.0,47.5
Sansera Engineering Limited,Auto Ancillary,27,40,64,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.75
Sapphire Foods India Limited,Restaurants,36,49,70,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.75
Sarda Energy and Minerals Limited,Metals - Ferrous,30,54,62,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.5
Saregama India Limited,Media,40,41,77,55,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.5
Sasken Technologies Limited,IT,64,58,60,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.5
Satin Creditcare Network Limited,NBFC,58,62,68,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.0
Savita Oil Technologies Ltd,Lubricants,45,55,61,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
SBI Cards and Payment Services Limited,NBFC,58,63,69,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
SBI Life Insurance Company Limited,Insurance,44,62,67,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Schaeffler India Limited,Auto Ancillary,40,34,74,52,Adequate,Dec-21,Environment/Social,Unknown,,0.0,37.0
Schneider Electric Infrastructure Limited,Heavy Electrical Equipment ,47,59,72,CRISIL ESG 60,Adequate,Mar-23,Environment,Unknown,,0.0,44.5
Seamec Limited,Shipping,29,54,66,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
SEL Manufacturing Company Limited,Textiles,17,29,42,CRISIL ESG 30,Weak,Mar-23,Environment/Social/Governance,Unknown,,0.0,22.0
Sequent Scientific Limited,Pharmaceuticals,28,46,66,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Seshasayee Paper and Boards Limited,Paper,40,54,67,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
Shaily Engineering Plastics Limited,Industrials,29,36,70,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Shalby Limited,Healthcare,37,61,70,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.0
Shankara Building Products Limited,Building material,26,50,71,50,Adequate,Mar-22,Environment,Unknown,,0.0,36.75
Shanthi Gears Limited,Auto Ancillary,25,36,69,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.5
Sharda Cropchem Limited,Chemicals - Speciality Chemicals,23,43,63,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.25
Sharda Motor Industries Limited,Auto Ancillary,24,35,71,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.5
Sheela Foam Limited,Consumer Retail,32,46,64,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Shilpa Medicare Limited,Pharmaceuticals,27,47,60,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,33.5
Shipping Corporation of India Limited,Shipping,27,55,59,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.25
Shoppers Stop Limited,Retailing (Diversified Retail),43,59,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Shree Cement Limited,Cement,49,59,65,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Shree Renuka Sugars Limited,Sugar,33,39,60,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,33.0
Shriram Finance Limited,NBFC,49,64,73,62,Strong,Mar-23,Environment,Unknown,,0.0,46.5
Shriram Properties Limited,Real Estate,33,51,64,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.0
Shyam Metalics and Energy Limited,Metals - Ferrous,28,59,66,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.25
Siemens Limited,Heavy Electrical Equipment ,59,62,62,CRISIL ESG 61,Strong,Sep-23,All sectors adequate,Unknown,,0.0,45.75
Sikka Ports & Terminals Limited,Port & Port services,14,31,52,33,Weak,Mar-23,Environment/Social,Unknown,,0.0,24.25
Simplex Infrastructures Limited,Construction EPC,20,29,56,37,Weak,Mar-23,Environment/Social,Unknown,,0.0,26.25
SIS Limited,Staffing,38,64,71,58,Adequate,Mar-22,Environment,Unknown,,0.0,43.25
Siyaram Silk Mills Limited,Textiles,34,59,63,CRISIL ESG 52,Adequate,Mar-23,Environment,Unknown,,0.0,39.0
SJVN Limited,"Power Renewable (Hydro, Nuclear)",45,63,59,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
SKF India Limited,Industrials,46,42,67,54,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.75
Small Industries Development Bank of India,Financial Institution ,54,45,53,51,Adequate,Mar-23,Social,Unknown,,0.0,38.0
SMFG India Credit Company Limited,NBFC,48,46,62,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.0
Sobha Limited,Real Estate,36,43,62,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.25
Solar Industries India Limited,Chemicals - Speciality Chemicals,33,43,65,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.25
Solara Active Pharma Sciences Limited,Pharmaceuticals,28,48,54,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.5
Somany Ceramics Limited,Sanitary ware and Ceramics,43,59,62,54,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Sona BLW Precision Forgings Limited,Auto Ancillary,46,46,69,55,Adequate,Mar-22,Environment/Social,Unknown,,0.0,40.25
Sonata Software Limited,IT,65,68,66,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.75
Spandana Sphoorty Financial Limited,NBFC,53,62,61,58,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.0
SpiceJet Limited,Airlines,27,27,55,38,Below Average,Mar-22,Environment/Social,Unknown,,0.0,27.25
SRF Limited,Chemicals - Speciality Chemicals,32,51,66,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Star Cement Limited,Cement,44,43,58,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.25
Star Health and Allied Insurance Company Limited,Insurance,43,52,68,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
State Bank of India,Banks,60,68,67,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.75
Steel Authority of India Limited,Metals - Ferrous,33,61,53,48,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Steel Strips Wheels Limited,Auto Ancillary,26,35,66,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.75
Sterling And Wilson Renewable Energy Limited,Construction EPC,34,53,56,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.75
Sterlite Technologies Limited,Telecom,41,54,69,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Stove Kraft Limited,Consumer Retail,33,47,77,54,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.25
Strides Pharma Science Limited,Pharmaceuticals,35,46,61,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
Stylam Industries Limited,Plywood Board,29,58,65,51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Styrenix Performance Materials Limited,Chemicals - Speciality Chemicals,36,53,59,49,Below Average,Mar-23,Environment,Unknown,,0.0,37.0
Subex Limited,IT,46,59,68,58,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Subros Limited,Auto Ancillary,25,37,60,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.5
Sudarshan Chemical Industries Limited,Chemicals - Speciality Chemicals,35,61,67,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
Sumitomo Chemical India Limited,Chemicals - Speciality Chemicals,41,41,68,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.5
Sun Pharma Advanced Research Co. Limited,Pharmaceuticals,24,46,70,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Sun Pharmaceutical Industries Limited,Pharmaceuticals,57,66,60,60,Adequate,Mar-22,All sectors adequate,Unknown,,0.0,45.75
Sun TV Network Limited,Media,36,40,63,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Sundaram Clayton Limited,Auto Ancillary,27,40,62,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
Sundaram Finance Limited,NBFC,46,58,72,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.0
Sundaram Home Finance Limited,NBFC,46,40,63,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.25
Sundram Fasteners Limited,Auto Ancillary,28,34,71,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Sunflag Iron and Steel Co.Limited,Metals - Ferrous,28,50,67,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.25
Sunteck Realty Limited,Real Estate,42,52,65,54,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
Suprajit Engineering Limited,Auto Ancillary,25,32,65,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.5
Supreme Petrochem Limited,Chemicals - Bulk & Polymers,42,56,62,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Supriya Lifescience Limited,Pharmaceuticals,32,47,67,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.5
Surya Roshni Limited,Metals - Linked Products,42,59,65,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Suryoday Small Finance Bank Limited,Banks,58,54,78,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Suven Life Sciences Limited,Pharmaceuticals,24,45,66,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Suven Pharmaceuticals Limited,Pharmaceuticals,26,46,68,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.0
Suzlon Energy Limited,"Power Renewable (Solar, Wind)",40,41,67,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.0
Swan Energy Limited,Oil & Gas - Gas,27,33,61,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
Swaraj Engines Limited,Industrials,38,39,67,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.0
Symphony Limited,Durables & Electricals,36,53,68,53,Adequate,Mar-22,Environment,Unknown,,0.0,39.25
Syngene International Limited,Pharmaceuticals,54,67,77,67,Strong,Mar-22,All sectors adequate,Karnataka,,72.0,67.5
Syrma SGS Technology Limited,Durables & Electricals,28,27,62,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.25
Taj G V K Hotels and Resorts Limited,Hotels,35,49,60,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
Tamil Nadu Newsprint and Papers Limited,Paper,36,68,65,56,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Tanla Platforms Limited,IT,64,57,69,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Tarsons Products Limited,Industrials,27,36,66,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
Tata Capital Financial Services Limited,NBFC,49,45,63,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.25
Tata Capital Housing Finance Limited,NBFC,46,42,68,54,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.0
Tata Capital Limited,Holding company,50,43,67,55,Adequate,Mar-22,Social,Unknown,,0.0,40.0
Tata Chemicals Limited,Commodity Chemicals,32,55,74,54,Adequate,Mar-23,Environment,Unknown,,0.0,40.25
Tata Communications Limited,Telecom,63,58,65,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.5
Tata Consultancy Services Limited,IT,78,73,72,75,Leadership,Mar-23,All sectors adequate,Maharashtra,,70.0,73.25
Tata Consumer Products Limited,FMCG,44,47,75,57,Adequate,Mar-23,Environment/Social,Unknown,,0.0,41.5
Tata Elxsi Limited,IT,60,57,73,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
Tata Housing Development Company Limited,Real Estate,20,21,66,39,Weak,Mar-23,Environment/Social,Unknown,,0.0,26.75
Tata Investment Corporation Limited,Holding company,46,56,65,56,Adequate,Mar-22,Environment,Unknown,,0.0,41.75
Tata Motors Limited,Auto OEM,53,67,68,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.0
Tata Power Renewable Energy Limited,"Power Renewable (Solar, Wind)",38,29,61,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.0
Tata Projects Limited,Construction EPC,40,40,64,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
Tata Realty and Infrastructure Limited,Real Estate,45,36,65,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.5
Tata Steel Limited,Metals - Ferrous,38,61,68,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Tata Teleservices (Maharashtra) Limited,Telecom,38,60,67,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Tata Teleservices Limited,Telecom,28,32,55,40,Weak,Mar-23,Environment/Social,Unknown,,0.0,28.75
Tatva Chintan Pharma Chem Limited,Chemicals - Speciality Chemicals,36,56,63,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
TCI Express Limited,Logistics,42,42,68,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.0
TCNS Clothing Co. Limited,Textile,21,37,66,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.0
TD Power Systems Limited,Heavy Electrical Equipment,33,55,69,CRISIL ESG 53,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
TeamLease Services Limited,Staffing,36,51,79,57,Adequate,Mar-22,Environment,Unknown,,0.0,41.5
Tech Mahindra Limited,IT,78,75,76,76,Leadership,Mar-23,All sectors adequate,Maharashtra,,70.0,74.75
Techno Electric And Engineering Company Limited,Construction EPC,30,57,56,47,Below Average,Mar-23,Environment,Unknown,,0.0,35.75
Technocraft Industries India Limited,Metals - Linked Products,30,61,67,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.5
Tega Industries Limited,Industrials,31,35,65,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.75
Tejas Networks Limited,Telecom,29,64,65,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.5
Texmaco Rail & Engineering Limited,Heavy Engineering,27,41,61,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
Thangamayil Jewellery Limited,Consumer Retail,27,43,63,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
The Andhra Sugars Limited,Commodity Chemicals,19,43,58,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,30.0
The Anup Engineering Limited,Heavy Engineering,26,37,62,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
The Bombay Burmah Trading Corporation Limited,Holding company,27,41,65,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
The Bombay Dyeing and Manufacturing Company Limited,Textile,24,43,66,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,33.25
The Federal Bank Limited,Banks,56,64,72,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.0
The Great Eastern Shipping Company Limited,Shipping,30,49,71,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.5
The India Cements Limited,Cement,36,57,49,47,Below Average,Mar-23,Environment/Governance,Unknown,,0.0,35.5
The Indian Hotels Company Limited,Hotels,47,47,70,56,Adequate,Mar-23,Environment/Social,Unknown,,0.0,41.0
The Indian Hume Pipe Company Limited,Industrials,27,37,57,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.25
The Jammu and Kashmir Bank Limited,Banks,53,59,68,61,Strong,Mar-23,All sectors adequate,Unknown,,0.0,45.0
The Karnataka Bank Limited,Banks,57,59,74,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.5
The Karur Vysya Bank Limited,Banks,59,61,75,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.75
The KCP Limited,Cement,26,52,61,46,Below Average,Mar-23,Environment,Unknown,,0.0,34.75
The New India Assurance Company Limited,Insurance,37,67,61,54,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
The Orissa Minerals Development Company Limited,Mining,12,38,59,37,Weak,Mar-23,Environment/Social,Unknown,,0.0,27.25
The Ramco Cements Limited,Cement,47,50,62,54,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
The Phoenix Mills Limited,Real Estate,23,21,69,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,28.25
The Sandur Manganese And Iron Ores Limited,Mining,31,55,71,53,Adequate,Mar-23,Environment,Unknown,,0.0,39.25
The South Indian Bank Limited,Banks,51,62,74,63,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.75
The Supreme Industries Limited,Plastic Products - Pipes,52,54,69,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,43.75
The Tata Power Company Limited,Power Thermal,36,61,70,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Themis Medicare Limited,Pharmaceuticals,25,45,68,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Thermax Limited,Heavy Engineering,35,45,65,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.25
Thirumalai Chemicals Limited,Commodity Chemicals,37,50,62,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.25
Thomas Cook India Limited,"Tour, Travel Related Services",39,58,68,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Thyrocare Technologies Limited,Healthcare,38,59,63,53,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Tide Water Oil Co. India Limited,Lubricants,35,61,62,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.5
Time Technoplast Limited,Industrials,27,34,64,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
Timken India Limited,Industrials,43,51,67,55,Adequate,Mar-22,Environment,Unknown,,0.0,40.25
Tips Industries Limited,Media,36,33,66,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.75
Titagarh Rail Systems Limited,Heavy Engineering,28,37,64,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
Titan Company Limited,Consumer Retail,41,54,72,57,Adequate,Mar-22,Environment,Unknown,,0.0,41.75
TMF Business Services Limited,NBFC,43,35,64,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.5
TMF Holdings Limited,Holding company,49,40,67,54,Adequate,Mar-22,Environment/Social,Unknown,,0.0,39.0
Torrent Pharmaceuticals Limited,Pharmaceuticals,55,71,67,64,Strong,Mar-22,All sectors adequate,Unknown,,0.0,48.25
Torrent Power Limited,Power T&D,43,61,66,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.5
Transport Corporation of India Limited,Logistics,38,41,66,50,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.25
Trent Limited,Multi-brand retail,46,63,68,59,Adequate,Mar-22,Environment,Unknown,,0.0,44.25
Trident Limited,Textiles,25,51,68,CRISIL ESG 49,Below Average,Mar-23,Environment,Unknown,,0.0,36.0
Triveni Engineering and Industries Limited,Sugar,29,40,64,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
Triveni Turbine Limited,Industrials,29,37,63,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
TruCap Finance Limited,NBFC,49,41,71,56,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.25
Ttk Healthcare Limited,FMCG,46,49,68,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.75
TTK Prestige Limited,Consumer Retail,32,46,66,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.0
Tube Investments Of India Limited,Auto Ancillary,29,35,69,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.25
TV Today Network Limited,Media,38,46,65,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,37.25
Tv18 Broadcast Limited,Media,36,44,73,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
TVS Motor Company Limited,Auto OEM,47,54,70,58,Adequate,Mar-23,Environment,Unknown,,0.0,42.75
TVS Srichakra Limited,Tyre,32,65,63,53,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
