Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
Craftsman Automation Limited,Auto Ancillary,31,43,69,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
CreditAccess Grameen Limited,NBFC,56,66,74,66,Strong,Mar-23,All sectors adequate,Unknown,,0.0,49.0
Crompton Greaves Consumer Electricals Limited,Durables & Electricals,31,41,74,51,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.5
CSB Bank Limited,Banks,58,57,77,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.0
Cummins India Limited,Industrials,37,42,67,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.5
Cyient Limited,IT,53,43,72,58,Adequate,Mar-23,Social,Unknown,,0.0,42.0
D.B. Corp Limited,Media,42,42,62,50,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.5
Dabur India Limited,FMCG,47,51,67,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Dalmia Bharat Limited,Cement,52,51,62,56,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,41.25
Dalmia Bharat Sugar & Industries Limited,Sugar,53,59,72,62,Strong,Mar-22,All sectors adequate,Unknown,,0.0,46.0
Data Patterns (India) Limited,Industrials,28,35,62,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.25
Datamatics Global Services Limited,IT,43,43,67,52,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.25
D B Realty Ltd,Real Estate,30,42,59,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.75
DCB Bank Limited,Banks,57,57,77,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.75
DCM Shriram Limited,Chemicals - Speciality Chemicals,28,58,64,50,Adequate,Mar-22,Environment,Unknown,,0.0,37.5
Deepak Fertilizers & Petrochemicals Corporation Limited,Commodity Chemicals,23,37,67,44,Below Average,Mar-23,Environment/Social,Unknown,,0.0,31.75
Deepak Nitrite Limited,Chemicals - Speciality Chemicals,27,38,66,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.75
Delhivery Limited,Logistics,35,48,71,53,Adequate,Mar-23,Environment/Social,Unknown,,0.0,38.5
Delta Corp Limited,Hotels,45,48,67,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,40.0
DEN Networks Limited,Media,38,41,60,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.75
Devyani International Limited,Restaurants,28,43,69,48,Below Average,Mar-23,Environment/Social,Unknown,,0.0,35.0
Dhampur Sugar Mills Limited,Sugar,31,43,64,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Dhani Services Limited,Financial Services (Capital Market),46,40,58,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.0
Dhanuka Agritech Limited,Chemicals - Speciality Chemicals,32,56,63,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.75
Dilip Buildcon Limited,Construction EPC,33,51,63,49,Below Average,Mar-23,Environment,Unknown,,0.0,36.75
Disa India Limited,Industrials,27,37,68,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
Dish TV India Limited,Media,36,41,61,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.5
Dishman Carbogen Amcis Limited,Pharmaceuticals,25,49,69,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
Divi's Laboratories Limited,Pharmaceuticals,31,50,68,51,Adequate,Mar-22,Environment,Unknown,,0.0,37.25
Dixon Technologies (India) Limited,Durables & Electricals,28,46,70,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,36.0
DLF Limited,Real Estate,43,58,68,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Dodla Dairy Limited,FMCG,46,53,66,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Dr. Lal Pathlabs Limited,Healthcare,46,63,70,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.75
Dr. Reddy's Laboratories Limited,Pharmaceuticals,56,67,73,66,Strong,Mar-22,All sectors adequate,Unknown,,0.0,49.0
Dwarikesh Sugar Industries Limited,Sugar,31,42,68,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Dynamatic Technologies Limited,Industrials,39,48,66,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.25
Easy Trip Planners Limited,"Tour, Travel Related Services",46,61,68,59,Adequate,Mar-23,Environment,Unknown,,0.0,43.75
Eclerx Services Limited,IT,66,64,76,70,Strong,Mar-23,All sectors adequate,Maharashtra,,70.0,69.0
Edelweiss Financial Services Limited,Holding,41,33,55,45,Below Average,Mar-23,Environment/Social,Unknown,,0.0,32.25
Edelweiss Rural & Corporate Services Limited,Financial Services (capital markets),35,28,52,40,Weak,Mar-23,Environment/Social,Unknown,,0.0,28.75
Eicher Motors Limited,Auto OEM,41,59,69,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
